date,n1,n2,n3,n4,n5,n6
11/26/2014,11,26,14,5,8,12
11/29/2014,11,29,14,10,20,26
12/03/2014,12,3,14,11,12,15
12/06/2014,12,6,14,4,9,13
12/10/2014,12,10,14,2,12,15
12/13/2014,12,13,14,1,10,13
12/17/2014,12,17,14,12,16,23
12/20/2014,12,20,14,10,24,26
12/24/2014,12,24,14,2,3,15
12/27/2014,12,27,14,6,12,14
12/31/2014,12,31,14,1,5,22
01/03/2015,1,3,15,3,13,19
01/07/2015,1,7,15,4,5,14
01/10/2015,1,10,15,3,13,21
01/14/2015,1,14,15,9,16,18
01/17/2015,1,17,15,8,11,18
01/21/2015,1,21,15,3,4,10
01/24/2015,1,24,15,5,7,18
01/28/2015,1,28,15,9,10,14
01/31/2015,1,31,15,6,9,10
02/04/2015,2,4,15,3,9,19
02/07/2015,2,7,15,3,10,18
02/11/2015,2,11,15,4,8,21
02/14/2015,2,14,15,5,6,15
02/18/2015,2,18,15,1,2,20
02/21/2015,2,21,15,4,5,8
02/25/2015,2,25,15,2,4,5
02/28/2015,2,28,15,2,3,6
03/04/2015,3,4,15,2,3,13
03/07/2015,3,7,15,6,17,18
03/11/2015,3,11,15,10,11,12
03/14/2015,3,14,15,4,6,10
03/18/2015,3,18,15,7,17,19
03/21/2015,3,21,15,6,16,18
03/25/2015,3,25,15,10,12,15
03/28/2015,3,28,15,3,9,17
04/01/2015,4,1,15,5,14,17
04/04/2015,4,4,15,3,16,17
04/08/2015,4,8,15,5,10,15
04/11/2015,4,11,15,4,11,21
04/15/2015,4,15,15,2,15,19
04/18/2015,4,18,15,3,16,19
04/22/2015,4,22,15,8,12,17
04/25/2015,4,25,15,1,18,21
04/29/2015,4,29,15,2,18,25
05/02/2015,5,2,15,5,23,26
05/06/2015,5,6,15,13,16,23
05/09/2015,5,9,15,7,13,24
05/13/2015,5,13,15,4,27,33
05/16/2015,5,16,15,15,17,19
05/20/2015,5,20,15,1,2,6
05/23/2015,5,23,15,3,12,13
05/27/2015,5,27,15,5,12,19
05/30/2015,5,30,15,6,7,8
06/03/2015,6,3,15,5,8,15
06/06/2015,6,6,15,5,6,17
06/10/2015,6,10,15,5,8,9
06/13/2015,6,13,15,2,3,5
06/17/2015,6,17,15,11,13,32
06/20/2015,6,20,15,7,19,21
06/24/2015,6,24,15,7,8,9
06/27/2015,6,27,15,2,6,17
07/01/2015,7,1,15,5,24,26
07/04/2015,7,4,15,9,13,17
07/08/2015,7,8,15,17,20,21
07/11/2015,7,11,15,11,22,25
07/15/2015,7,15,15,2,13,18
07/18/2015,7,18,15,12,24,30
07/22/2015,7,22,15,5,6,18
07/25/2015,7,25,15,4,9,14
07/29/2015,7,29,15,2,3,22
08/01/2015,8,1,15,5,7,9
08/05/2015,8,5,15,11,16,19
08/08/2015,8,8,15,5,8,10
08/12/2015,8,12,15,6,12,24
08/15/2015,8,15,15,7,9,17
08/19/2015,8,19,15,1,3,8
08/22/2015,8,22,15,5,7,14
08/26/2015,8,26,15,9,17,23
08/29/2015,8,29,15,11,18,25
09/02/2015,9,2,15,3,6,7
09/05/2015,9,5,15,6,12,25
09/09/2015,9,9,15,8,24,25
09/12/2015,9,12,15,20,21,24
09/16/2015,9,16,15,7,10,14
09/19/2015,9,19,15,3,4,11
09/23/2015,9,23,15,3,18,26
09/26/2015,9,26,15,1,5,6
09/30/2015,9,30,15,9,12,23
10/03/2015,10,3,15,1,2,3
10/07/2015,10,7,15,4,6,14
10/10/2015,10,10,15,9,10,11
10/14/2015,10,14,15,2,13,17
10/17/2015,10,17,15,11,15,22
10/21/2015,10,21,15,13,16,35
10/24/2015,10,24,15,7,12,21
10/28/2015,10,28,15,4,5,11
10/31/2015,10,31,15,3,7,10
11/04/2015,11,4,15,7,19,23
11/07/2015,11,7,15,18,22,23
11/11/2015,11,11,15,2,12,17
11/14/2015,11,14,15,5,22,32
11/18/2015,11,18,15,8,9,12
11/21/2015,11,21,15,12,23,27
11/25/2015,11,25,15,5,11,12
11/28/2015,11,28,15,1,3,7
12/02/2015,12,2,15,6,7,8
12/05/2015,12,5,15,15,16,22
12/09/2015,12,9,15,2,10,11
12/12/2015,12,12,15,7,17,25
12/16/2015,12,16,15,2,18,19
12/19/2015,12,19,15,2,24,25
12/23/2015,12,23,15,6,11,21
12/26/2015,12,26,15,3,9,22
12/30/2015,12,30,15,2,5,14
01/02/2016,1,2,16,3,11,17
01/06/2016,1,6,16,13,14,15
01/09/2016,1,9,16,6,15,21
