date,n1,n2,n3,n4,n5,s1
09/12/2021,9,12,21,1,3,11
09/13/2021,9,13,21,5,7,22
09/14/2021,9,14,21,17,22,24
09/15/2021,9,15,21,21,22,32
09/16/2021,9,16,21,1,18,19
09/17/2021,9,17,21,8,12,35
09/18/2021,9,18,21,4,10,26
09/19/2021,9,19,21,3,4,31
09/20/2021,9,20,21,22,35,38
09/21/2021,9,21,21,1,5,37
09/22/2021,9,22,21,11,34,38
09/23/2021,9,23,21,13,27,32
09/24/2021,9,24,21,7,18,20
09/25/2021,9,25,21,6,16,24
09/26/2021,9,26,21,7,23,28
09/27/2021,9,27,21,1,13,17
09/28/2021,9,28,21,2,17,23
09/29/2021,9,29,21,9,26,40
09/30/2021,9,30,21,12,23,32
10/01/2021,10,1,21,2,15,38
10/02/2021,10,2,21,1,12,24
10/03/2021,10,3,21,15,35,36
10/04/2021,10,4,21,2,3,29
10/05/2021,10,5,21,18,20,33
10/06/2021,10,6,21,8,14,23
10/07/2021,10,7,21,2,7,21
10/08/2021,10,8,21,6,22,24
10/09/2021,10,9,21,12,27,28
10/10/2021,10,10,21,7,23,27
10/11/2021,10,11,21,4,17,20
10/12/2021,10,12,21,1,6,8
10/13/2021,10,13,21,13,16,18
10/14/2021,10,14,21,20,28,32
10/15/2021,10,15,21,5,15,21
10/16/2021,10,16,21,20,33,38
10/17/2021,10,17,21,5,11,24
10/18/2021,10,18,21,9,17,18
10/19/2021,10,19,21,1,8,22
10/20/2021,10,20,21,6,20,21
10/21/2021,10,21,21,6,13,17
10/22/2021,10,22,21,1,3,14
10/23/2021,10,23,21,5,12,19
10/24/2021,10,24,21,3,20,21
10/25/2021,10,25,21,13,25,27
10/26/2021,10,26,21,9,11,15
10/27/2021,10,27,21,14,23,39
10/28/2021,10,28,21,21,23,24
10/29/2021,10,29,21,1,14,24
10/30/2021,10,30,21,5,19,22
10/31/2021,10,31,21,5,7,11
11/01/2021,11,1,21,4,27,28
11/02/2021,11,2,21,8,19,26
11/03/2021,11,3,21,7,19,25
11/04/2021,11,4,21,6,9,12
11/05/2021,11,5,21,1,2,11
11/06/2021,11,6,21,23,24,27
11/07/2021,11,7,21,15,18,24
11/08/2021,11,8,21,23,24,33
11/09/2021,11,9,21,5,9,10
11/10/2021,11,10,21,7,8,20
