n1,n2,n3,n4,n5,n6,draw_date
1,11,14,3,11,12,2014-01-11
1,15,14,8,19,29,2014-01-15
1,18,14,5,9,19,2014-01-18
1,22,14,13,17,18,2014-01-22
1,25,14,2,6,8,2014-01-25
1,29,14,1,24,25,2014-01-29
2,1,14,2,5,6,2014-02-01
2,5,14,7,16,29,2014-02-05
2,8,14,1,16,21,2014-02-08
2,12,14,14,21,23,2014-02-12
2,15,14,1,6,25,2014-02-15
2,19,14,9,10,22,2014-02-19
2,22,14,7,9,27,2014-02-22
2,26,14,3,4,6,2014-02-26
3,1,14,17,18,22,2014-03-01
3,5,14,3,14,15,2014-03-05
3,8,14,4,7,12,2014-03-08
3,12,14,3,8,26,2014-03-12
3,15,14,1,27,30,2014-03-15
3,19,14,5,18,31,2014-03-19
3,22,14,9,23,28,2014-03-22
3,26,14,10,12,16,2014-03-26
3,29,14,7,8,12,2014-03-29
4,2,14,21,24,29,2014-04-02
4,5,14,2,14,15,2014-04-05
4,9,14,1,19,28,2014-04-09
4,12,14,1,4,23,2014-04-12
4,16,14,7,10,12,2014-04-16
4,19,14,5,10,12,2014-04-19
4,23,14,5,6,9,2014-04-23
4,26,14,2,5,32,2014-04-26
4,30,14,2,6,8,2014-04-30
5,3,14,4,5,19,2014-05-03
5,7,14,3,6,10,2014-05-07
5,10,14,5,17,20,2014-05-10
5,14,14,12,21,22,2014-05-14
5,17,14,9,12,27,2014-05-17
5,21,14,12,17,18,2014-05-21
5,24,14,2,21,23,2014-05-24
5,28,14,11,20,27,2014-05-28
5,31,14,8,11,15,2014-05-31
6,4,14,8,13,21,2014-06-04
6,7,14,5,10,13,2014-06-07
6,11,14,5,18,26,2014-06-11
6,14,14,8,10,13,2014-06-14
6,18,14,5,13,21,2014-06-18
6,21,14,3,4,8,2014-06-21
6,25,14,19,25,38,2014-06-25
6,28,14,2,4,10,2014-06-28
7,2,14,11,17,27,2014-07-02
7,5,14,3,13,14,2014-07-05
7,9,14,2,3,5,2014-07-09
7,12,14,3,4,8,2014-07-12
7,16,14,7,14,17,2014-07-16
7,19,14,24,27,30,2014-07-19
7,23,14,11,18,23,2014-07-23
7,26,14,5,10,14,2014-07-26
7,30,14,6,7,14,2014-07-30
8,2,14,5,8,15,2014-08-02
8,6,14,7,24,28,2014-08-06
8,9,14,7,10,25,2014-08-09
8,13,14,7,14,15,2014-08-13
8,16,14,1,2,3,2014-08-16
8,20,14,2,10,19,2014-08-20
8,23,14,4,7,18,2014-08-23
8,27,14,3,11,17,2014-08-27
8,30,14,4,10,16,2014-08-30
9,3,14,3,6,15,2014-09-03
9,6,14,3,13,18,2014-09-06
9,10,14,10,15,17,2014-09-10
9,13,14,14,18,25,2014-09-13
9,17,14,2,7,18,2014-09-17
9,20,14,9,10,28,2014-09-20
9,24,14,5,15,18,2014-09-24
9,27,14,5,7,13,2014-09-27
10,1,14,16,19,20,2014-10-01
10,4,14,6,24,25,2014-10-04
10,8,14,8,9,12,2014-10-08
10,11,14,1,9,19,2014-10-11
10,15,14,1,4,26,2014-10-15
10,18,14,9,10,20,2014-10-18
10,22,14,7,11,13,2014-10-22
10,25,14,3,8,9,2014-10-25
10,29,14,12,17,21,2014-10-29
11,1,14,6,7,12,2014-11-01
11,5,14,1,5,17,2014-11-05
11,8,14,11,17,29,2014-11-08
11,12,14,3,4,8,2014-11-12
11,15,14,12,17,30,2014-11-15
11,19,14,4,17,18,2014-11-19
11,22,14,6,7,10,2014-11-22
11,26,14,5,8,12,2014-11-26
11,29,14,10,20,26,2014-11-29
12,3,14,11,12,15,2014-12-03
12,6,14,4,9,13,2014-12-06
12,10,14,2,12,15,2014-12-10
12,13,14,1,10,13,2014-12-13
12,17,14,12,16,23,2014-12-17
12,20,14,10,24,26,2014-12-20
12,24,14,2,3,15,2014-12-24
12,27,14,6,12,14,2014-12-27
12,31,14,1,5,22,2014-12-31
1,3,15,3,13,19,2015-01-03
1,7,15,4,5,14,2015-01-07
1,10,15,3,13,21,2015-01-10
1,14,15,9,16,18,2015-01-14
1,17,15,8,11,18,2015-01-17
1,21,15,3,4,10,2015-01-21
1,24,15,5,7,18,2015-01-24
1,28,15,9,10,14,2015-01-28
1,31,15,6,9,10,2015-01-31
2,4,15,3,9,19,2015-02-04
2,7,15,3,10,18,2015-02-07
2,11,15,4,8,21,2015-02-11
2,14,15,5,6,15,2015-02-14
2,18,15,1,2,20,2015-02-18
2,21,15,4,5,8,2015-02-21
2,25,15,2,4,5,2015-02-25
2,28,15,2,3,6,2015-02-28
3,4,15,2,3,13,2015-03-04
3,7,15,6,17,18,2015-03-07
3,11,15,10,11,12,2015-03-11
3,14,15,4,6,10,2015-03-14
3,18,15,7,17,19,2015-03-18
3,21,15,6,16,18,2015-03-21
3,25,15,10,12,15,2015-03-25
3,28,15,3,9,17,2015-03-28
4,1,15,5,14,17,2015-04-01
4,4,15,3,16,17,2015-04-04
4,8,15,5,10,15,2015-04-08
4,11,15,4,11,21,2015-04-11
4,15,15,2,15,19,2015-04-15
4,18,15,3,16,19,2015-04-18
4,22,15,8,12,17,2015-04-22
4,25,15,1,18,21,2015-04-25
4,29,15,2,18,25,2015-04-29
5,2,15,5,23,26,2015-05-02
5,6,15,13,16,23,2015-05-06
5,9,15,7,13,24,2015-05-09
5,13,15,4,27,33,2015-05-13
5,16,15,15,17,19,2015-05-16
5,20,15,1,2,6,2015-05-20
5,23,15,3,12,13,2015-05-23
5,27,15,5,12,19,2015-05-27
5,30,15,6,7,8,2015-05-30
6,3,15,5,8,15,2015-06-03
6,6,15,5,6,17,2015-06-06
6,10,15,5,8,9,2015-06-10
6,13,15,2,3,5,2015-06-13
6,17,15,11,13,32,2015-06-17
6,20,15,7,19,21,2015-06-20
6,24,15,7,8,9,2015-06-24
6,27,15,2,6,17,2015-06-27
7,1,15,5,24,26,2015-07-01
7,4,15,9,13,17,2015-07-04
7,8,15,17,20,21,2015-07-08
7,11,15,11,22,25,2015-07-11
7,15,15,2,13,18,2015-07-15
7,18,15,12,24,30,2015-07-18
7,22,15,5,6,18,2015-07-22
7,25,15,4,9,14,2015-07-25
7,29,15,2,3,22,2015-07-29
8,1,15,5,7,9,2015-08-01
8,5,15,11,16,19,2015-08-05
8,8,15,5,8,10,2015-08-08
8,12,15,6,12,24,2015-08-12
8,15,15,7,9,17,2015-08-15
8,19,15,1,3,8,2015-08-19
8,22,15,5,7,14,2015-08-22
8,26,15,9,17,23,2015-08-26
8,29,15,11,18,25,2015-08-29
9,2,15,3,6,7,2015-09-02
9,5,15,6,12,25,2015-09-05
9,9,15,8,24,25,2015-09-09
9,12,15,20,21,24,2015-09-12
9,16,15,7,10,14,2015-09-16
9,19,15,3,4,11,2015-09-19
9,23,15,3,18,26,2015-09-23
9,26,15,1,5,6,2015-09-26
9,30,15,9,12,23,2015-09-30
10,3,15,1,2,3,2015-10-03
